Interview number (ongoing),Serial number (if provided),Questionnaire that has been used in the interview,Language,Random Generator: Code drawn,starost: [01],pol,mesto: [01],mesto_opstina,mesto_latitude,mesto_longitude,region,mesto_osn: [01],etnicitet,etnicitet: Drugo,country,država,država: Drugo,obrazovanje,obrazovanje_oca,obrazovanje_majke,educationgross,judgment,item condition,INFvDPC,benchmark gram,Modality,wurm,phasal
1247,CASE001246,list1,srp,1,22,2,Leskovac,Leskovac,42.9951304,21.9464271,5,Leskovac,4,,Serbia,4,,4,3,3,10,,phapreda+,2,,,,
1249,CASE001248,list2,srp,2,20,2,Vranje,Vranje,42.5558337,21.8976673,5,Vranje,4,,Serbia,4,,3,2,3,8,5,phapreda+,2,,,,
1251,CASE001250,list2,srp,2,28,2,Mladenovac,Mladenovac,44.4585657,20.7037782,6,Mladenovac,4,,Serbia,4,,4,3,3,10,5,phapreda+,2,,,,
1253,CASE001252,list1,srp,1,27,2,Niš,Niš,43.3211301,21.8959232,5,Niš,4,,Serbia,4,,3,5,4,12,,phapreda+,2,,,,
1258,CASE001257,list2,srp,2,22,1,Prokuplje,Prokuplje,43.2343484,21.5884422,5,Prokuplje,4,,Serbia,4,,3,4,4,11,5,phapreda+,2,,,,
1263,CASE001262,list2,srp,2,48,2,Leskovac,Leskovac,42.9951304,21.9464271,5,Leskovac,4,,Serbia,4,,4,3,2,9,4,phapreda+,2,,,,
1265,CASE001264,list1,srp,1,48,1,Leskovac,Leskovac,42.9951304,21.9464271,5,Led,4,,Serbia,4,,3,3,3,9,,phapreda+,2,,,,
1271,CASE001269,list2,srp,2,47,2,Leskovac,Leskovac,42.9951304,21.9464271,5,Leskovac,4,,Serbia,4,,4,3,3,10,2,phapreda+,2,,,,
1274,CASE001273,list1,srp,1,48,1,leskovac,Leskovac,42.9951304,21.9464271,5,leskovac,4,,Serbia,4,,3,3,3,9,,phapreda+,2,,,,
1278,CASE001277,list2,srp,2,48,2,Leskovac,Leskovac,42.9951304,21.9464271,5,Leskovac,4,,Serbia,4,,4,3,3,10,5,phapreda+,2,,,,
1283,CASE001282,list1,srp,1,44,2,Vranje,Vranje,42.5558337,21.8976673,5,Vranje,4,,Serbia,4,,5,4,3,12,,phapreda+,2,,,,
1285,CASE001284,list1,srp,1,27,2,Niš,Niš,43.3211301,21.8959232,5,Niš,4,,Serbia,4,,3,4,4,11,,phapreda+,2,,,,
1287,CASE001286,list2,srp,2,32,2,Leskovac,Leskovac,42.9951304,21.9464271,5,Bošnjace,4,,Serbia,4,,5,3,3,11,5,phapreda+,2,,,,
1291,CASE001290,list2,srp,2,26,2,Niš,Niš,43.3211301,21.8959232,5,Pirot,4,,Serbia,4,,5,4,3,12,5,phapreda+,2,,,,
160,CASE000159,list2,srp,2,19,2,Prokuplje,Prokuplje,43.2343484,21.5884422,5,Prokuplje,4,,Serbia,4,,3,3,4,10,,phapreda+,2,,,,
169,CASE000167,list2,srp,2,19,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,4,3,10,,phapreda+,2,,,,
