Interview number (ongoing),Serial number (if provided),Reference (if provided in link),Questionnaire that has been used in the interview,Interview mode,Language,Time the interview has started (Europe/Berlin),"Random Generator: Complete clearances of the ballot, yet",Random Generator: Code drawn,starost: [01],pol,mesto_opstina,mesto_osn: [01],etnicitet,etnicitet: Drugo,country,država: Drugo,obrazovanje,obrazovanje_oca,obrazovanje_majke
1147,0,0,base,interview,hrv,45189.51,0,0,36,1,0,Trilj,3,0,3,0,4,4,3
1150,0,0,base,interview,hrv,45189.75,0,1,39,1,Zagreb,Zagreb,3,0,3,0,4,4,3
1153,0,0,base,interview,hrv,45189.85,0,1,23,2,Zagreb,Zagreb,3,0,3,0,3,4,4
1155,0,0,base,interview,hrv,45189.9,0,1,48,2,Zagreb,Trogir,3,0,3,0,3,3,3
1158,0,0,base,interview,hrv,45189.92,0,2,47,2,Zagreb,Zagreb,3,0,3,0,4,3,4
1161,0,0,base,interview,hrv,45190.3,0,2,33,2,Karlovac,Karlovac,3,0,3,0,4,3,3
1164,0,0,base,interview,hrv,45190.59,0,2,35,1,Zagreb,Zadar,3,0,3,0,4,4,4
1166,0,0,base,interview,srp,45190.67,0,2,23,1,Novi Sad,Novi Sad,4,0,4,0,4,4,3
1168,0,0,base,interview,srp,45190.84,0,2,39,1,Beograd,Aleksinac,4,0,4,0,5,3,3
1171,0,0,base,interview,hrv,45192.52,0,2,40,1,Zagreb,Zagreb,3,0,3,0,3,4,4
1173,0,0,base,interview,hrv,45192.55,0,2,41,1,Velika Gorica,Velika Gorica,3,0,3,0,4,5,3
1175,0,0,base,interview,hrv,45194.57,0,1,20,1,zg,zg,5,0,3,0,3,1,1
1177,0,0,base,interview,hrv,45199.63,0,2,31,2,Hrvatsko zagorje,Ivanska,3,0,3,0,4,3,3
1180,0,0,base,interview,hrv,45201.64,0,2,26,2,zagreb,srinjine,3,0,3,0,4,3,3
1182,0,0,base,interview,srp,45211.77,0,2,27,2,Vranje,Vranje,4,0,4,0,4,3,3
1184,0,0,base,interview,srp,45212.41,0,1,27,2,"Vranje, Niš",Vranje,4,0,4,0,4,3,3
1186,0,0,base,interview,srp,45212.42,0,1,22,2,Vranje,Vranje,4,0,4,0,4,3,3
1191,0,0,base,interview,srp,45212.62,0,2,48,2,Leskovac,Leskovac,4,0,4,0,4,4,3
1193,0,0,base,interview,srp,45212.62,0,1,18,1,Leskovac,Leskovac,4,0,4,0,2,5,4
1194,0,0,base,interview,srp,45212.62,0,2,43,2,Leskovac,Leskovac,4,0,4,0,4,4,3
1197,0,0,base,interview,srp,45212.63,0,1,44,2,Leskovac,Leskovac,4,0,4,0,4,3,3
1199,0,0,base,interview,srp,45212.63,0,1,52,2,Leskovac,Vučje,4,0,4,0,4,3,3
1200,0,0,base,interview,srp,45212.63,0,2,42,2,Leskovac,Leskovac,4,0,4,0,4,4,4
1201,0,0,base,interview,srp,45212.63,0,2,44,2,Leskovac,Leskovac,4,0,4,0,4,3,3
1206,0,0,base,interview,srp,45212.64,0,2,42,2,Leskovac,Leskovac,4,0,4,0,4,4,4
1208,0,0,base,interview,srp,45212.65,0,2,27,2,Niš,Niš,4,0,4,0,4,4,4
1210,0,0,base,interview,srp,45212.67,0,1,27,2,Niš,Niš,4,0,4,0,4,4,4
1212,0,0,base,interview,srp,45212.7,0,1,20,2,Niš,Niš,4,0,4,0,3,4,4
1213,0,0,base,interview,srp,45212.7,0,2,18,2,Niš,Niš,4,0,4,0,3,4,4
1216,0,0,base,interview,srp,45212.76,0,2,48,2,Leskovac,Leskovac,4,0,4,0,4,4,3
1218,0,0,base,interview,srp,45212.81,0,1,27,1,Niš,Niš,4,0,4,0,4,5,4
1220,0,0,base,interview,srp,45212.81,0,2,22,1,Niš,Niš,4,0,4,0,3,3,4
1222,0,0,base,interview,srp,45212.81,0,1,22,1,Niš,Niš,4,0,4,0,3,3,4
1228,0,0,base,interview,srp,45212.89,0,2,27,2,Niš,Niš,4,0,4,0,5,3,3
1230,0,0,base,interview,srp,45212.9,0,2,36,2,Vranje,Vranje,4,0,4,0,4,4,3
1232,0,0,base,interview,srp,45212.9,0,1,26,2,Vranje,Vranje,4,0,4,0,5,3,3
1234,0,0,base,interview,srp,45212.91,0,2,38,2,Vranje,Vranje,4,0,4,0,4,3,3
1235,0,0,base,interview,srp,45212.91,0,2,25,2,Vranje,Trgoviste,4,0,4,0,4,1,4
1238,0,0,base,interview,srp,45212.91,0,1,20,2,"Veliko Ropotovo, KiM",Veliko Ropotovo,4,0,4,0,3,4,4
1239,0,0,base,interview,srp,45212.92,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,0,0,base,interview,srp,45212.92,0,1,27,2,BUJANOVAC,BUJANOVAC,4,0,4,0,5,3,4
1246,0,0,base,interview,srp,45213,0,1,22,2,Leskovac,Leskovac,4,0,4,0,4,3,3
1248,0,0,base,interview,srp,45213.35,0,2,20,2,Vranje,Vranje,4,0,4,0,3,2,3
1250,0,0,base,interview,srp,45213.39,0,2,28,2,Mladenovac,Mladenovac,4,0,4,0,4,3,3
1252,0,0,base,interview,srp,45213.45,0,1,27,2,Niš,Niš,4,0,4,0,3,5,4
1254,0,0,base,interview,srp,45213.63,0,1,23,2,Vranje,Vranje,4,0,4,0,3,4,1
1257,0,0,base,interview,srp,45213.88,0,2,22,1,Prokuplje,Prokuplje,4,0,4,0,3,4,4
1262,0,0,base,interview,srp,45213.95,0,2,48,2,Leskovac,Leskovac,4,0,4,0,4,3,2
1264,0,0,base,interview,srp,45213.95,0,1,48,1,Leskovac,Led,4,0,4,0,3,3,3
1269,0,0,base,interview,srp,45214.3,0,2,47,2,Leskovac,Leskovac,4,0,4,0,4,3,3
1273,0,0,base,interview,srp,45214.33,0,1,48,1,leskovac,leskovac,4,0,4,0,3,3,3
1275,0,0,base,interview,srp,45214.94,0,1,21,2,Leskovac,Bošnjace,4,0,4,0,3,4,4
1277,0,0,base,interview,srp,45215.45,0,2,48,2,Leskovac,Leskovac,4,0,4,0,4,3,3
1280,0,0,base,interview,srp,45215.6,0,2,44,2,Vranje,Vranje,4,0,4,0,5,4,3
1282,0,0,base,interview,srp,45215.61,0,1,44,2,Vranje,Vranje,4,0,4,0,5,4,3
1284,0,0,base,interview,srp,45215.64,0,1,27,2,Niš,Niš,4,0,4,0,3,4,4
1286,0,0,base,interview,srp,45215.7,0,2,32,2,Лесковац,Бошњаце,4,0,4,0,5,3,3
1288,0,0,base,interview,srp,45215.72,0,2,23,2,VRANJE,VRANJE,4,0,4,0,3,3,3
